articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
2-2-2015_PS,67,72,mean,7.462686567164178,MINOR_ERROR,NA
2-2-2015_PS,60,63,mean,5,MINOR_ERROR,NA
2-2-2015_PS,67,72,mean,7.462686567164178,MINOR_ERROR,NA
2-2-2015_PS,60,66,mean,10,MAJOR_ERROR,NA
2-2-2015_PS,56,57,mean,1.7857142857142856,MINOR_ERROR,NA
2-2-2015_PS,85,85,mean,0,MATCH,NA
2-2-2015_PS,56,58,mean,3.571428571428571,MINOR_ERROR,NA
2-2-2015_PS,85,88,mean,3.5294117647058822,MINOR_ERROR,NA
2-2-2015_PS,69.5,75,mean,7.913669064748201,MINOR_ERROR,NA
2-2-2015_PS,68.54,72.27,mean,5.442077618908651,MINOR_ERROR,NA
2-2-2015_PS,9,9,df,0,MATCH,NA
2-2-2015_PS,-0.46,-0.74,t,60.8695652173913,MAJOR_ERROR,NA
2-2-2015_PS,0.33,0.24,p,27.272727272727277,MAJOR_ERROR,NA
2-2-2015_PS,69.5,74.3,mean,6.90647482014388,MINOR_ERROR,NA
2-2-2015_PS,68.54,69,mean,0.6711409395973063,MINOR_ERROR,NA
2-2-2015_PS,9,9,df,0,MATCH,NA
2-2-2015_PS,-0.46,-1.67,t,263.0434782608695,MAJOR_ERROR,NA
2-2-2015_PS,0.33,0.06,p,81.81818181818183,MAJOR_ERROR,NA
2-2-2015_PS,81.22,82.38,mean,1.4282196503324263,MINOR_ERROR,NA
2-2-2015_PS,61.35,63.65,mean,3.7489812550937196,MINOR_ERROR,NA
2-2-2015_PS,8,7,df,12.5,MAJOR_ERROR,NA
2-2-2015_PS,-2.5,-2.1,t,15.999999999999998,MAJOR_ERROR,NA
2-2-2015_PS,0.02,0.04,p,100,MAJOR_ERROR,NA
2-2-2015_PS,81.22,84.5,mean,4.038414183698598,MINOR_ERROR,NA
2-2-2015_PS,61.35,67.35,mean,9.779951100244487,MINOR_ERROR,NA
2-2-2015_PS,8,9,df,12.5,MAJOR_ERROR,NA
2-2-2015_PS,-2.5,-2.8,t,11.999999999999993,MAJOR_ERROR,NA
2-2-2015_PS,0.02,0.01,p,50,MAJOR_ERROR,NA
