articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
2-2-2015_PS,67,72,mean,7.462686567164178,MINOR_ERROR,NA
2-2-2015_PS,60,63,mean,5,MINOR_ERROR,NA
2-2-2015_PS,56,57,mean,1.7857142857142856,MINOR_ERROR,NA
2-2-2015_PS,85,85,mean,0,MATCH,NA
2-2-2015_PS,69.5,75,mean,7.913669064748201,MINOR_ERROR,NA
2-2-2015_PS,68.54,72.27,mean,5.442077618908651,MINOR_ERROR,NA
2-2-2015_PS,9,9,df,0,MATCH,NA
2-2-2015_PS,-0.46,-0.74,t,60.8695652173913,MAJOR_ERROR,NA
2-2-2015_PS,0.33,0.24,p,27.272727272727277,MAJOR_ERROR,NA
2-2-2015_PS,81.22,75,mean,7.65821226298941,MINOR_ERROR,NA
2-2-2015_PS,61.35,72.27,mean,17.79951100244498,MAJOR_ERROR,NA
2-2-2015_PS,8,7,df,12.5,MAJOR_ERROR,NA
2-2-2015_PS,-2.5,-2.1,t,15.999999999999998,MAJOR_ERROR,NA
2-2-2015_PS,0.02,0.04,p,100,MAJOR_ERROR,NA
