articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
2-2-2015_PS,67,67,mean,0,MATCH,NA
2-2-2015_PS,60,60,mean,0,MATCH,NA
2-2-2015_PS,56,56,mean,0,MATCH,NA
2-2-2015_PS,85,85,mean,0,MATCH,NA
2-2-2015_PS,69.5,69.5,mean,0,MATCH,NA
2-2-2015_PS,68.54,68.55,mean,0.014590020426015324,MINOR_ERROR,NA
2-2-2015_PS,9,9,df,0,MATCH,NA
2-2-2015_PS,-0.46,-0.46,t,0,MATCH,NA
2-2-2015_PS,0.33,0.33,p,0,MATCH,NA
2-2-2015_PS,81.22,81.22,mean,0,MATCH,NA
2-2-2015_PS,61.35,61.35,mean,0,MATCH,NA
2-2-2015_PS,8,8,df,0,MATCH,NA
2-2-2015_PS,-2.5,-2.5,t,0,MATCH,NA
2-2-2015_PS,0.02,0.02,p,0,MATCH,NA
